"","PLOT_NAME","SUPER_PATHWAY","SUB_PATHWAY","Rmcorr","CI_lower","CI_upper","p_value","padj","sig"
"507","N-oleoyltaurine","Lipid","Endocannabinoid",0.0442396629133094,-0.212067306753819,0.294852131155564,0.737146317775006,0.971250083747139,""
"508","linoleoylcarnitine (C18:2)*","Lipid","Fatty Acid Metabolism (Acyl Carnitine, Polyunsaturated)",-0.140952806110669,-0.38123265820444,0.117165410285232,0.28272302623324,0.849712004393182,""
"509","isoleucylglycine","Peptide","Dipeptide",0.0135274522239142,-0.241225849948834,0.266536613549303,0.918293440369843,0.990549990428757,""
"510","leucylglycine","Peptide","Dipeptide",0.0246285127038669,-0.230739183584923,0.276822028895078,0.851827761952985,0.978507307579512,""
"511","N-palmitoyltaurine","Lipid","Endocannabinoid",0.176172762938284,-0.0813930252300777,0.41168107057345,0.178147627270696,0.831141825375282,""
"512","N-stearoyltaurine","Lipid","Endocannabinoid",0.182168399920357,-0.0752365225803426,0.416812579202156,0.163597236604638,0.831141825375282,""
"513","2-O-methylascorbic acid","Cofactors and Vitamins","Ascorbate and Aldarate Metabolism",-0.0279390949603424,-0.279878221928327,0.227600301024776,0.832181849287457,0.978057183043045,""
"514","beta-citrylglutamate","Amino Acid","Glutamate Metabolism",-0.144503581275294,-0.384326191636245,0.113589047324693,0.270649656288397,0.840136154283436,""
"515","trimethylamine N-oxide","Lipid","Phospholipid Metabolism",0.0669976312921918,-0.190162177314264,0.315554017182767,0.611020972286074,0.960981009182483,""
"516","N6-methyllysine","Amino Acid","Lysine Metabolism",0.0855110436950111,-0.172151650563699,0.332222086242859,0.51593535278581,0.95197397510697,""
"517","imidazole propionate","Amino Acid","Histidine Metabolism",0.0757741720928869,-0.18164556057442,0.323474914978123,0.565003536249463,0.960981009182483,""
"518","citalopram/escitalopram","Xenobiotics","Drug - Psychoactive",0.0254611489631277,-0.229950231051772,0.277591164897577,0.846877741384103,0.978507307579512,""
